Timestamp,Proposition,Catégorie,Sous catégorie,Sentiment
16/01/2025,Le personnel de la mairie est très accueillant mais c'est dommage qu'on ne puisse pas faire de démarches en ligne.,Expérience en mairie,Accueil et orientation,Positif
16/01/2025,Le personnel de la mairie est très accueillant mais c'est dommage qu'on ne puisse pas faire de démarches en ligne.,Expérience web,Disponibilité des informations en ligne,Négatif
30/01/2025,"La navigation sur le site est simple, mais certaines informations ne sont pas à jour.",Expérience web,Navigation sur le site de la mairie,Positif
30/01/2025,"La navigation sur le site est simple, mais certaines informations ne sont pas à jour.",Expérience web,Disponibilité des informations en ligne,Négatif
04/01/2025,"Les démarches administratives en ligne sont fluides, un vrai gain de temps.",Expérience web,Efficacité et facilité d’utilisation des téléservices,Positif
15/01/2025,Les locaux sont propres.,Expérience en mairie,Propreté et aménagement des locaux,Positif
07/01/2025,Les délais pour obtenir des documents administratifs sont raisonnables.,Suivi/Assistance,Délais de traitement des dossiers,Positif
05/01/2025,Un programme communautaire pour les jeunes serait très utile.,Offre/Services municipaux,Initiatives citoyennes et programmes communautaires,Négatif
06/01/2025,"Le service de réclamation est très réactif, mais les agents ne donnent pas assez de détails sur les procédures.",Suivi/Assistance,Gestion des réclamations et des plaintes,Positif
06/01/2025,"Le service de réclamation est très réactif, mais les agents ne donnent pas assez de détails sur les procédures.",Suivi/Assistance,Modalités de communication et suivi des demandes,Négatif
21/01/2025,La clarté des démarches administratives pourrait être améliorée.,Offre/Services municipaux,Clarté des procédures administratives,Négatif
15/01/2025,Une initiative écologique pour réduire les déchets serait la bienvenue.,Offre/Services municipaux,Engagement environnemental et social,Négatif
23/01/2025,Le paiement en ligne fonctionne parfaitement.,Expérience web,"Paiement en ligne (taxes, amendes, etc.)",Posigtif
13/01/2025,Les agents municipaux sont courtois et efficaces.,Expérience en mairie,Interactions avec les agents municipaux,Positif
22/01/2025,Le site de la mairie n'est pas accessible aux malvoyants.,Offre/Services municipaux,"Accessibilité des services (inclusion, multilingue)",Négatif
16/01/2025,Un effort sur la tarification des services est nécessaire.,Offre/Services municipaux,Tarification et transparence des coûts,Négatif
15/01/2025,Le service client est très efficace pour résoudre les problèmes complexes.,Suivi/Assistance,Interactions avec le service client ou la hotline,Positif
24/01/2025,Certaines fonctions sur le site sont inaccessibles le week-end.,Expérience web,Disponibilité des informations en ligne,Négatif
29/01/2025,Les délais pour traiter une réclamation sont beaucoup trop longs.,Suivi/Assistance,Gestion des réclamations et des plaintes,Négatif
04/01/2025,Les agents municipaux ont besoin d'une meilleure formation pour répondre aux questions complexes.,Expérience en mairie,Interactions avec les agents municipaux,Négatif
15/01/2025,Les initiatives citoyennes devraient inclure des activités intergénérationnelles.,Offre/Services municipaux,Initiatives citoyennes et programmes communautaires,Négatif
24/01/2025,Un service de suivi en ligne des dossiers serait très utile.,Suivi/Assistance,Modalités de communication et suivi des demandes,Négatif
16/01/2025,La gestion des situations d'urgence est excellente.,Suivi/Assistance,Gestion des urgences et situations exceptionnelles,Positif
20/01/2025,"L'engagement social est notable, mais plus d'efforts écologiques sont nécessaires.",Offre/Services municipaux,Engagement environnemental et social,Négatif
15/01/2025,Les documents administratifs sont souvent incomplets lors de la livraison.,Offre/Services municipaux,Disponibilité des documents et dossiers administratifs,Négatif
03/02/2025,"Le site de la mairie est agréable, mais certains liens sont brisés.",Expérience web,Navigation sur le site de la mairie,Négatif
17/01/2025,Une hotline 24h/24 serait un grand plus.,Suivi/Assistance,Interactions avec le service client ou la hotline,Négatif
27/01/2025,Les espaces d'accueil devraient inclure des distributeurs de boissons.,Expérience en mairie,Propreté et aménagement des locaux,Négatif
11/01/2025,Les taxes municipales devraient pouvoir être payées en espèces.,Offre/Services municipaux,Moyens de paiement acceptés,Négatif
09/01/2025,La disponibilité des informations sur les démarches en ligne est excellente.,Expérience web,Disponibilité des informations en ligne,Positif
16/01/2025,Une application mobile pour les démarches administratives serait pratique.,Expérience web,Efficacité et facilité d’utilisation des téléservices,Négatif
05/01/2025,Les tarifs pour les activités sportives municipales sont trop élevés.,Offre/Services municipaux,Tarification et transparence des coûts,Négatif
29/01/2025,Le service après-vente administratif est performant et rapide.,Suivi/Assistance,Efficacité du service après-vente administratif,Positif