Timestamp,Proposition,Catégorie,Sous catégorie
16/01/2025,"Le personnel est très accueillant, mais les temps d'attente sont trop longs.",Expérience en mairie,"Accueil et orientation, Temps d'attente"
30/01/2025,"La navigation sur le site est simple, mais certaines informations ne sont pas à jour.",Expérience web,"Navigation sur le site de la mairie, Disponibilité des informations en ligne"
04/01/2025,"Les démarches administratives en ligne sont fluides, un vrai gain de temps.",Expérience web,Efficacité et facilité d’utilisation des téléservices
15/01/2025,"Les locaux sont propres, mais il manque des espaces de repos pour les visiteurs.",Expérience en mairie,Propreté et aménagement des locaux
07/01/2025,Les délais pour obtenir des documents administratifs sont raisonnables.,Suivi/Assistance,Délais de traitement des dossiers
05/01/2025,Un programme communautaire pour les jeunes serait très utile.,Offre/Services municipaux,Initiatives citoyennes et programmes communautaires
06/01/2025,"Le service de réclamation est très réactif, mais les agents ne donnent pas assez de détails sur les procédures.",Suivi/Assistance,"Gestion des réclamations et des plaintes, Modalités de communication et suivi des demandes"
21/01/2025,La clarté des démarches administratives pourrait être améliorée.,Offre/Services municipaux,Clarté des procédures administratives
15/01/2025,Une initiative écologique pour réduire les déchets serait la bienvenue.,Offre/Services municipaux,Engagement environnemental et social
23/01/2025,Le paiement en ligne fonctionne parfaitement.,Expérience web,"Paiement en ligne (taxes, amendes, etc.)"
13/01/2025,Les agents municipaux sont courtois et efficaces.,Expérience en mairie,Interactions avec les agents municipaux
22/01/2025,Le site de la mairie n'est pas accessible aux malvoyants.,Offre/Services municipaux,"Accessibilité des services (inclusion, multilingue)"
16/01/2025,Un effort sur la tarification des services est nécessaire.,Offre/Services municipaux,Tarification et transparence des coûts
15/01/2025,Le service client est très efficace pour résoudre les problèmes complexes.,Suivi/Assistance,Interactions avec le service client ou la hotline
24/01/2025,"Les démarches en ligne sont claires, mais certaines fonctions sont inaccessibles le week-end.",Expérience web,Efficacité et facilité d’utilisation des téléservices
29/01/2025,Les délais pour traiter une réclamation sont beaucoup trop longs.,Suivi/Assistance,Gestion des réclamations et des plaintes
04/01/2025,Les agents municipaux ont besoin d'une meilleure formation pour répondre aux questions complexes.,Expérience en mairie,Interactions avec les agents municipaux
15/01/2025,Les initiatives citoyennes devraient inclure des activités intergénérationnelles.,Offre/Services municipaux,Initiatives citoyennes et programmes communautaires
24/01/2025,Un service de suivi en ligne des dossiers serait très utile.,Suivi/Assistance,Modalités de communication et suivi des demandes
16/01/2025,La gestion des situations d'urgence est excellente.,Suivi/Assistance,Gestion des urgences et situations exceptionnelles
20/01/2025,"L'engagement social est notable, mais plus d'efforts écologiques sont nécessaires.",Offre/Services municipaux,Engagement environnemental et social
15/01/2025,Les documents administratifs sont souvent incomplets lors de la livraison.,Offre/Services municipaux,Disponibilité des documents et dossiers administratifs
03/01/2025,"Le site de la mairie est agréable, mais certains liens sont brisés.",Expérience web,Navigation sur le site de la mairie
17/01/2025,Une hotline 24h/24 serait un grand plus.,Suivi/Assistance,Interactions avec le service client ou la hotline
27/01/2025,Les espaces d'accueil devraient inclure des distributeurs de boissons.,Expérience en mairie,Propreté et aménagement des locaux
11/01/2025,Les taxes municipales devraient pouvoir être payées en espèces.,Offre/Services municipaux,Moyens de paiement acceptés
09/01/2025,La disponibilité des informations sur les démarches en ligne est excellente.,Expérience web,Disponibilité des informations en ligne
16/01/2025,Une application mobile pour les démarches administratives serait pratique.,Expérience web,Efficacité et facilité d’utilisation des téléservices
05/01/2025,Les tarifs pour les activités sportives municipales sont trop élevés.,Offre/Services municipaux,Tarification et transparence des coûts
29/01/2025,Le service après-vente administratif est performant et rapide.,Suivi/Assistance,Efficacité du service après-vente administratif